table,row_count,domain,geo_grain,geo_key,distinct_geos,date_column,vintage,verdict,note
txn_prob_scores,-1,unclassified,national,,,,,—,unclassified — review manually
txn_prob_signals,-1,unclassified,national,,,,,—,unclassified — review manually
uspto_assignees,-1,unclassified,national,,,ingested_at,,—,unclassified — review manually
uspto_inventors,-1,unclassified,national,,,ingested_at,,—,unclassified — review manually
uspto_patents,-1,unclassified,national,,,ingested_at,,—,unclassified — review manually
utility_territory,63,unclassified,national,,,collected_at,2026-02-26 21:10:45.758532 → 2026-04-15 03:14:35.877609,—,unclassified — review manually
warehouse_facility,-1,unclassified,point,lat/lon,,collected_at,,—,unclassified — review manually
warehouse_listing,60,unclassified,point,lat/lon,,collected_at,2026-02-03 16:55:00.481349 → 2026-02-25 02:23:14.825028,—,unclassified — review manually
watchlist_items,1,unclassified,national,,,,,—,unclassified — review manually
watchlists,2,unclassified,national,,,,,—,unclassified — review manually
workspace_invitations,1,unclassified,national,,,,,—,unclassified — review manually
workspace_members,1,unclassified,national,,,,,—,unclassified — review manually
workspaces,1,unclassified,national,,,,,—,unclassified — review manually
yelp_businesses,400,unclassified,point,lat/lon,,ingested_at,2026-03-11 23:27:40.824003 → 2026-03-11 23:27:40.824003,—,unclassified — review manually
